"","IterYear","AgeInYears","cohortsize"
"10720",2039,71,2422688.22310991
"10721",2039,72,2410354.64921568
"10722",2039,73,2312696.84495797
"10723",2039,74,2265407.3327203
"10724",2039,75,2221292.27337955
"10725",2039,76,2179026.61727873
"10726",2039,77,2138548.92708929
"10727",2039,78,2137597.14102043
"10728",2039,79,2056420.94209078
"10729",2039,80,2016091.64154131
"10730",2039,81,1976187.86088382
"10731",2039,82,1937207.85433846
"10732",2039,83,1936226.25840849
"10733",2039,84,1862973.61013396
"10734",2039,85,1827918.15528008
"10735",2039,86,1794253.85094909
"10736",2039,87,1762019.07072136
"10737",2039,88,1592767.35714473
"10738",2039,89,1247827.45225773
"10739",2039,90,1247183.56073954
"10740",2039,91,1246535.14956456
"10741",2039,92,1245893.26992484
"10742",2039,93,1142998.38647063
"10743",2039,94,999200.425876287
"10744",2039,95,998547.65300763
"10745",2039,96,997890.510185267
"10746",2039,97,997233.993546464
"10747",2039,98,939805.790298447
"10748",2039,99,859730.526073679
"10749",2039,100,859165.928273767
"10750",2039,101,858593.972921573
"10751",2039,102,858023.380051513
"10752",2039,103,810372.298985535
"10753",2039,104,743948.289631408
"10754",2039,105,743452.423434437
"10755",2039,106,742954.625014476
"10756",2039,107,742456.844793341
"10757",2039,108,701562.112737115
"10758",2039,109,644560.19345057
"10759",2039,110,644139.948664593
"10760",2039,111,643721.667367043
"10761",2039,112,643303.196994841
"10762",2039,113,607540.437086666
"10763",2039,114,557679.264088858
"10764",2039,115,557316.713835174
"10765",2039,116,556954.648262972
"10766",2039,117,556592.737881258
"10767",2039,118,523169.149541819
"10768",2039,119,476558.315561776
"10769",2039,120,10879575.3480174
"10770",2040,0,9913636.6140571
"10771",2040,1,9808809.18023118
"10772",2040,2,9700932.50117168
"10773",2040,3,9590103.91913659
"10774",2040,4,9476600.73896821
"10775",2040,5,9362760.15519966
"10776",2040,6,9420538.48467556
"10777",2040,7,9121084.5775612
"10778",2040,8,8998719.4523226
"10779",2040,9,8875336.64134057
"10780",2040,10,8751385.96142383
"10781",2040,11,8629688.14925641
"10782",2040,12,8668005.89733965
"10783",2040,13,8380509.33249818
"10784",2040,14,8258838.23244169
"10785",2040,15,8138990.23944107
"10786",2040,16,8023430.92029488
"10787",2040,17,8058369.65856534
